Year+Month,Station,Land+Ocean,Land_Only,Open_Ocean
1934.04,-0.1,-0.21,-0.06,-0.32
1934.13,-0.05,-0.02,0.55,-0.35
1934.21,-0.3,-0.29,-0.35,-0.32
1934.29,-0.3,-0.3,-0.32,-0.26
1934.38,0.03,-0.09,0.34,-0.27
1934.46,-0.16,-0.14,0.05,-0.18
1934.54,-0.02,-0.1,0.05,-0.18
1934.63,0.04,-0.12,-0.02,-0.16
1934.71,-0.02,-0.15,-0.27,-0.13
1934.79,-0.02,-0.06,0.12,-0.17
1934.88,0.11,0.04,0.37,-0.15
1934.96,0.17,-0.02,0.23,-0.19
1935.04,-0.29,-0.34,-0.5,-0.23
1935.13,0.28,0.15,0.99,-0.24
1935.21,0.04,-0.14,0.18,-0.3
1935.29,-0.44,-0.37,-0.61,-0.23
1935.38,-0.32,-0.28,-0.36,-0.24
1935.46,-0.16,-0.26,-0.16,-0.3
1935.54,-0.23,-0.21,0.06,-0.3
1935.63,-0.2,-0.21,-0.02,-0.27
1935.71,-0.36,-0.21,0.01,-0.26
1935.79,0,-0.06,0.14,-0.15
1935.88,-0.29,-0.26,-0.6,-0.13
1935.96,-0.09,-0.17,-0.32,-0.14
1936.04,-0.25,-0.27,-0.4,-0.21
1936.13,-0.38,-0.37,-0.79,-0.17
1936.21,-0.13,-0.2,-0.15,-0.21
1936.29,0,-0.2,-0.27,-0.2
1936.38,-0.24,-0.16,0.09,-0.22
1936.46,-0.17,-0.21,-0.03,-0.27
1936.54,0.16,-0.09,0.31,-0.28
1936.63,0.05,-0.13,0.07,-0.22
1936.71,0.01,-0.09,0,-0.16
1936.79,0.04,-0.02,0.14,-0.11
1936.88,0.11,0.02,0.26,-0.13
1936.96,0.11,-0.01,0.23,-0.15
1937.04,-0.04,-0.07,-0.34,-0.18
1937.13,0.07,0.03,0.32,-0.14
1937.21,-0.23,-0.21,-0.45,-0.12
1937.29,-0.17,-0.16,-0.29,-0.12
1937.38,0.03,-0.05,0.1,-0.15
1937.46,-0.04,-0.05,0.17,-0.12
1937.54,-0.07,-0.03,0.06,-0.08
1937.63,0.07,0.02,0.19,-0.04
1937.71,0.22,0.09,0.36,-0.02
1937.79,0.19,0.09,0.37,-0.06
1937.88,0.28,0.08,0.23,-0.05
1937.96,0,-0.07,-0.3,-0.07
1938.04,0.13,0.08,0.31,-0.12
1938.13,0.13,0.04,0.21,-0.13
1938.21,0.24,0.1,0.44,-0.14
1938.29,0.34,0.07,0.61,-0.18
1938.38,0.12,-0.09,0.21,-0.2
1938.46,-0.11,-0.17,-0.08,-0.2
1938.54,-0.02,-0.09,0.09,-0.2
1938.63,-0.01,-0.05,0.2,-0.16
1938.71,0.11,0.01,0.36,-0.18
1938.79,0.36,0.15,0.49,-0.11
1938.88,0.2,0.08,0.5,-0.19
1938.96,-0.01,-0.12,-0.23,-0.22
1939.04,0,-0.05,0.47,-0.25
1939.13,-0.11,-0.06,0.12,-0.16
1939.21,-0.32,-0.17,-0.28,-0.13
1939.29,-0.15,-0.1,-0.05,-0.11
1939.38,0.02,-0.04,0.27,-0.16
1939.46,-0.06,-0.06,0.16,-0.11
1939.54,-0.1,-0.05,0.12,-0.13
1939.63,-0.22,-0.06,0.15,-0.09
